Name,_
String,boolean
Event_001_CarOrders,
Event_002_Boats,
Event_003_Crops,
Event_004_Visitors,
Event_005_Boats,
Event_006_Newspaper,
Event_007_CarOrders,
Event_008_Boats,
Event_009_Visitors,
Event_010_Boats,
Event_011_Newspaper,
Event_012_CarOrders,
Event_013_Visitors,
Event_014_Boats,
Event_015_Adv_ItemDump_BaconEggs,
,
,
,
,
Event_016_Adv_ItemDump_Halloween,
,
,
,
,
Event_017_Boats,
Event_018_Adv_Fishing,
,
,
,
,
Event_019_Visitors,
Event_020_Adv_Boats,
,
,
,
,
Event_021_CarOrders,
Event_022_Adv_Boats,
,
,
,
,
Event_023_Adv_ItemDump_Christmas,
,
,
,
,
Event_024_Adv_ItemDump_NewYear,
,
,
,
,
Event_025_Boats,
Event_026_Adv_Fishing,
,
,
,
,
Event_027_Visitors,
Event_028_Adv_Boats,
,
,
,
,
Event_029_CarOrders,
Event_030_Valentine,
,
,
,
,
Event_031_Adv_Boats,
,
,
,
,
Event_032_Adv_Fishing,
,
,
,
,
Event_033_Boats,
Event_034_Adv_Fishing,
,
,
,
,
,
Event_035_CarOrders,
Event_036_Adv_Boats,
,
,
,
,
Event_037_Adv_Fishing,
,
,
,
,
,
Event_038_Boats,
Event_039_Easter,
,
,
,
,
Event_041_Adv_Boats,
,
,
,
,
Event_042_Visitors,
Event_043_Adv_Fishing,
,
,
,
,
,
Event_044_CarOrders,
Event_045_Adv_Boats,
,
,
,
,
Event_046_Visitors,
Event_047_Adv_Fishing,
,
,
,
,
,
Event_048_Birthday,
,
,
,
,
Event_049_Adv_Boats,
,
,
,
,
Event_050_CarOrders,
Event_051_Adv_Fishing,
,
,
,
,
,
Event_052_Visitors,
Event_053_Adv_Boats,
,
,
,
,
Event_054_CarOrders,
Event_055_Adv_Boats,
,
,
,
,
Event_056_Visitors,
Event_057_Adv_Fishing,
,
,
,
,
,
Event_058_CarOrders,
Event_059_Adv_Boats,
,
,
,
,
Event_060_Visitors,
Event_061_Adv_Fishing,
,
,
,
,
,
Event_062_Boats,
Event_063_Adv_Boats,
,
,
,
,
Event_064_ItemDump_Halloween2014,
,
,
,
,
Event_065_CarOrders,
Event_066_Adv_Fishing,
,
,
,
,
,
Event_067_Visitors,
Event_068_Adv_Boats,
,
,
,
,
Event_069_CarOrders,
Event_070_Adv_Fishing,
,
,
,
,
,
Event_071_Adv_ItemDump_Christmas,
,
,
,
,
Event_072_Adv_ItemDump_NewYear,
,
,
,
,
Event_073_Adv_CarOrders,
,
,
,
,
Event_074_Visitors,
Event_075_Boats,
Event_076_CarOrders,
Event_077_Adv_Boats,
,
,
,
,
Event_078_CarOrders,
Event_079_Valentine,
Event_080_ChineseNewYear,
,
,
,
,
Event_081_Visitors,
Event_082_Adv_Fishing,
,
,
,
,
,
Event_083_CarOrders,
Event_084_Visitors,
Event_085_Adv_Boats,
,
,
,
,
Event_086_CarOrders,
Event_087_Easter,
,
,
,
,
Event_089_Boats,
Event_090_Adv_Fishing,
,
,
,
,
,
Event_091_Visitors,
Event_092_CarOrders,
Event_093_Adv_CarOrders,
,
,
,
,
Event_094_Boats,
Event_095_Visitors,
Event_096_Adv_Fishing,
,
,
,
,
,
Event_097_CarOrders,
Event_098_Adv_Boats,
,
,
,
,
Event_099_Adv_Fishing,
,
,
,
,
,
Event_100_Boats,
Event_101_Adv_CarOrders_Birthday,
,
,
,
,
Event_102_Visitors,
Event_103_TownVisitors,
Event_104_Adv_Boats,
,
,
,
,
Event_105_CarOrders,
Event_106_Visitors,
Event_107_Boats,
Event_108_Adv_CarOrders,
,
,
,
,
Event_109_Adv_Boats,
,
,
,
,
Event_110_TownVisitors,
Event_111_Boats,
Event_112_Adv_Fishing,
,
,
,
,
,
Event_113_Adv_Boats,
,
,
,
,
Event_114_CarOrders,
Event_115_Boats,
Event_116_Visitors,
Event_117_Adv_CarOrders,
,
,
,
,
Event_118_TownVisitors,
Event_119_Adv_Boats,
,
,
,
,
Event_120_Adv_Fishing,
,
,
,
,
,
Event_121_Visitors,
