FileName,Farm,Fishing,Town,DecorationCanvas,Editor,IsMusic,
String,boolean,boolean,boolean,boolean,boolean,Boolean,
sc/hud.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_deco_shop_vouchers.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/icons_decos.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/buildings_new.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/icons.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/farmpass.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/nature_new.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/map_hud.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/animals.sc,TRUE,TRUE,TRUE,TRUE,TRUE,,
sc/tutorials.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/placeholders.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/debug.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/foreground.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/effects.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/ambient_animals.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/fishing_icons.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/train_icons.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/pop_crosspromo.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/animals02.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/map_icons.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/common.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_context_menus.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_daily_tasks.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_tlo.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_money_shop.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_sticker_book.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_deco_event.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_event_board.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/hud_global_event.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/deco_event_background.sc,TRUE,TRUE,TRUE,TRUE,,,
sc/decos01_generic.sc,TRUE,,TRUE,TRUE,TRUE,,
sc/decos02_seasonal.sc,TRUE,,TRUE,TRUE,TRUE,,
sc/decos03_features.sc,TRUE,,TRUE,TRUE,TRUE,,
sc/decos04_pathsandfences.sc,TRUE,,TRUE,TRUE,TRUE,,
sc/decos05_modular.sc,TRUE,,TRUE,TRUE,TRUE,,
sc/decos06_farmpass.sc,TRUE,,TRUE,TRUE,TRUE,,
sc/decos07_valley.sc,TRUE,,TRUE,TRUE,TRUE,,
sc/background.sc,TRUE,,TRUE,TRUE,,,
sc/fruit_trees_berrybushes.sc,TRUE,,,,,,
sc/whitehouse_skins.sc,TRUE,,,,,,
sc/humans.sc,TRUE,,TRUE,TRUE,,,
sc/map.sc,TRUE,,,,,,
sc/animals03.sc,TRUE,,TRUE,,,,train animals
sc/animals04.sc,TRUE,,TRUE,,,,train animals
sc/animals05.sc,TRUE,,TRUE,,,,train animals
sc/trucks_skins.sc,TRUE,,,,,,
sc/newspaper.sc,TRUE,,,,,,
sc/rss_skins.sc,TRUE,,,,,,
sc/train_humans.sc,TRUE,,TRUE,,,,
sc/order_images.sc,TRUE,,,,,,
sc/fruit_trees_berrybushes02.sc,TRUE,,,,,,
sc/humans02.sc,TRUE,,,,,,
sc/humans03.sc,TRUE,,,,,,
sc/hud_guest.sc,TRUE,,,,,,
sc/fishing_background.sc,,TRUE,,,,,
sc/fishes.sc,,TRUE,,,,,
sc/scrapbook.sc,,TRUE,,,,,fishing scrapbook
sc/fishing_area_buildings_and_decos.sc,,TRUE,,,,,
sc/fishing_humans.sc,,TRUE,,,,,
sc/train_buildings.sc,,,TRUE,,,,
sc/train_puzzlebook.sc,,,TRUE,,,,
sc/train_background.sc,,,TRUE,,,,
sc/train_nature.sc,,,TRUE,,,,
