Name,FileName,ExportName,ExportNameCanFlip,GardenFileName,GardenFrontExportName,GardenFrontCanFlip,GardenBackExportName,GardenBackCanFlip,StatesExportName,TID,Tags
String,String,String,boolean,String,String,boolean,String,boolean,String,String,String
HouseBasic,sc/map.sc,building_basichouse_01_red,TRUE,sc/map.sc,,TRUE,,TRUE,,TID_MAPGAME_NODE_NAME_HOUSE,blackroof
,sc/map.sc,building_basichouse_02_blue,TRUE,sc/map.sc,garden_front_fence01,TRUE,garden_back_fence01,TRUE,,,blackroof
,sc/map.sc,building_basichouse_03_whitered,TRUE,sc/map.sc,garden_front_grass01,TRUE,garden_back_grass01,TRUE,,,
,sc/map.sc,building_basichouse_04_brown,TRUE,sc/map.sc,garden_front_grass02,TRUE,garden_back_grass02,TRUE,,,
,sc/map.sc,building_basichouse_05_pink,TRUE,sc/map.sc,garden_front_crates,TRUE,,,,,
,sc/map.sc,building_basichouse_06_green,TRUE,,,,,,,,
,sc/map.sc,building_basichouse_07_blue,TRUE,,,,,,,,
,sc/map.sc,building_basichouse_08_pblue,TRUE,,,,,,,,blackroof
,sc/map.sc,building_basichouse_09_yelowred,TRUE,,,,,,,,
,sc/map.sc,building_basichouse_10_white,TRUE,,,,,,,,
,sc/map.sc,building_basichouse_11_purple,TRUE,,,,,,,,
,sc/map.sc,building_basichouse_12_wood,TRUE,,,,,,,,
,sc/map.sc,building_basichouse_13_white,TRUE,sc/map.sc,garden_front_fence02,TRUE,garden_back_fence02,TRUE,,,
,sc/map.sc,building_basichouse_14_yellow,TRUE,,,,,,,,
,sc/map.sc,building_basichouse_15_white,TRUE,,,,,,,,
Mill,sc/map.sc,building_mill_01,,sc/map.sc,garden_front_fence01,,garden_back_fence01,,,TID_MAPGAME_NODE_NAME_MILL,windmill
Cinema,sc/map.sc,building_cinema_01,,,,,,,,TID_TRAIN_MOVIETHEATER,cinema
Spa,sc/map.sc,building_spa_01,,,,,,,,TID_TRAIN_SPA,spa
Diner,sc/map.sc,building_diner_01,,,,,,,,TID_TRAIN_DINER,diner
Store01Food,sc/map.sc,building_storekit_mid_carrot,,sc/map.sc,,,,,,TID_MAPGAME_NODE_NAME_STORE01,veggie
Store02Fish,sc/map.sc,building_storekit_mid_fish,,,,,,,,TID_MAPGAME_NODE_NAME_STORE02,fish
Store03Pizza,sc/map.sc,building_storekit_mid_pizza,,sc/map.sc,,,,,,TID_MAPGAME_NODE_NAME_STORE03,
Store04Purple,sc/map.sc,building_storekit_mid_purple,,sc/map.sc,garden_front_grass01,,garden_back_grass01,,,TID_MAPGAME_NODE_NAME_STORE,
Storesmall01Food,sc/map.sc,building_storekit_small_01carrot,,sc/map.sc,garden_front_barrels,,garden_back_grass02,,,TID_MAPGAME_NODE_NAME_STORE01,veggie
Storesmall02Fish,sc/map.sc,building_storekit_small_02fish,,,,,,,,TID_MAPGAME_NODE_NAME_STORE02,fish
Storesmall03Pizza,sc/map.sc,building_storekit_small_03pizza,,sc/map.sc,garden_front_fence01,,garden_back_fence01,,,TID_MAPGAME_NODE_NAME_STORE03,
Storesmall04Purple,sc/map.sc,building_storekit_small_04purple,,sc/map.sc,,,garden_back_grass01,,,TID_MAPGAME_NODE_NAME_STORE,
Storesmall05Brown,sc/map.sc,building_storekit_small_05brown,,sc/map.sc,,,,,,TID_MAPGAME_NODE_NAME_STORE,
Storesmall06Orange,sc/map.sc,building_storekit_small_06orange,,sc/map.sc,garden_front_crates,,,,,TID_MAPGAME_NODE_NAME_STORE,
Storesmall06Rainbow,sc/map.sc,building_storekit_small_07rainbow,,sc/map.sc,garden_front_barrels,,garden_back_fence01,,,TID_MAPGAME_NODE_NAME_STORE,
,,,,,garden_front_fence01,,,,,,
GasStation2x2,sc/map.sc,building_gas_station_01,,,,,,,,TID_MAPGAME_GAS_STATION_NODE_TITLE,gasstation
Sanctuary01,sc/map.sc,building_sanctuary_01,TRUE,,,,,,mapnode_states_5x5,TID_MAPGAME_SANCTUARY_NODE_TITLE,sanctuary
